identifier,charity_number,company_number,filetype,filename,financial_year_end,org_type
GB-CHC-1163945,1163945,,pdf_ocr,accounts/GB-CHC-1163945-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1163973,1163973,,pdf_ocr,accounts/GB-CHC-1163973-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1163981,1163981,,pdf_ocr,accounts/GB-CHC-1163981-2018-03-31.pdf,2018-03-31 00:00:00,Charity
GB-CHC-1165136,1165136,,pdf_ocr,accounts/GB-CHC-1165136-2017-12-31.pdf,2017-12-31 00:00:00,Charity
GB-CHC-1165309,1165309,,pdf_ocr,accounts/GB-CHC-1165309-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1165369,1165369,,pdf_ocr,accounts/GB-CHC-1165369-2017-12-31.pdf,2017-12-31 00:00:00,Charity
GB-CHC-1165566,1165566,,pdf_ocr,accounts/GB-CHC-1165566-2017-04-01.pdf,2017-04-01 00:00:00,Charity
GB-CHC-1165659,1165659,,pdf_ocr,accounts/GB-CHC-1165659-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1165789,1165789,,pdf_ocr,accounts/GB-CHC-1165789-2017-04-05.pdf,2017-04-05 00:00:00,Charity
GB-CHC-1165870,1165870,,pdf_ocr,accounts/GB-CHC-1165870-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1166307,1166307,,pdf_ocr,accounts/GB-CHC-1166307-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1166358,1166358,,pdf_ocr,accounts/GB-CHC-1166358-2017-08-31.pdf,2017-08-31 00:00:00,Charity
GB-CHC-1167004,1167004,,pdf_ocr,accounts/GB-CHC-1167004-2017-08-30.pdf,2017-08-30 00:00:00,Charity
GB-CHC-1167124,1167124,,pdf_ocr,accounts/GB-CHC-1167124-2017-09-30.pdf,2017-09-30 00:00:00,Charity
GB-CHC-1167212,1167212,,pdf_ocr,accounts/GB-CHC-1167212-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1167366,1167366,,pdf_ocr,accounts/GB-CHC-1167366-2018-03-31.pdf,2018-03-31 00:00:00,Charity
GB-CHC-1167510,1167510,,pdf_ocr,accounts/GB-CHC-1167510-2018-02-28.pdf,2018-02-28 00:00:00,Charity
GB-CHC-1167723,1167723,,pdf_ocr,accounts/GB-CHC-1167723-2018-03-31.pdf,2018-03-31 00:00:00,Charity
GB-CHC-1167837,1167837,,pdf_ocr,accounts/GB-CHC-1167837-2018-06-30.pdf,2018-06-30 00:00:00,Charity
GB-CHC-1168372,1168372,,pdf_ocr,accounts/GB-CHC-1168372-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1168381,1168381,,pdf_ocr,accounts/GB-CHC-1168381-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1169279,1169279,,pdf_ocr,accounts/GB-CHC-1169279-2018-03-31.pdf,2018-03-31 00:00:00,Charity
GB-CHC-1170092,1170092,,pdf_ocr,accounts/GB-CHC-1170092-2018-03-31.pdf,2018-03-31 00:00:00,Charity
GB-CHC-1171748,1171748,,pdf_ocr,accounts/GB-CHC-1171748-2017-09-30.pdf,2017-09-30 00:00:00,Charity
GB-CHC-1172104,1172104,,pdf_ocr,accounts/GB-CHC-1172104-2017-12-31.pdf,2017-12-31 00:00:00,Charity
GB-CHC-1172556,1172556,,pdf_ocr,accounts/GB-CHC-1172556-2018-03-31.pdf,2018-03-31 00:00:00,Charity
GB-CHC-205089,205089,,pdf_ocr,accounts/GB-CHC-205089-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-208582,208582,,pdf_ocr,accounts/GB-CHC-208582-2018-03-31.pdf,2018-03-31 00:00:00,Charity
GB-CHC-220256,220256,,pdf_ocr,accounts/GB-CHC-220256-2017-07-31.pdf,2017-07-31 00:00:00,Charity
GB-CHC-239992,239992,,pdf_ocr,accounts/GB-CHC-239992-2017-12-31.pdf,2017-12-31 00:00:00,Charity
GB-CHC-243044,243044,,pdf_ocr,accounts/GB-CHC-243044-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-247331,247331,,pdf_ocr,accounts/GB-CHC-247331-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-253242,253242,,pdf_ocr,accounts/GB-CHC-253242-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-259649,259649,,pdf_ocr,accounts/GB-CHC-259649-2017-12-31.pdf,2017-12-31 00:00:00,Charity
GB-CHC-277287,277287,,pdf_ocr,accounts/GB-CHC-277287-2018-03-31.pdf,2018-03-31 00:00:00,Charity
GB-CHC-288125,288125,,pdf_ocr,accounts/GB-CHC-288125-2018-03-31.pdf,2018-03-31 00:00:00,Charity
GB-CHC-288370,288370,,pdf_ocr,accounts/GB-CHC-288370-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-289868,289868,,pdf_ocr,accounts/GB-CHC-289868-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-290211,290211,,pdf_ocr,accounts/GB-CHC-290211-2018-03-31.pdf,2018-03-31 00:00:00,Charity
GB-CHC-293799,293799,,pdf_ocr,accounts/GB-CHC-293799-2018-05-31.pdf,2018-05-31 00:00:00,Charity
GB-CHC-293973,293973,,pdf_ocr,accounts/GB-CHC-293973-2017-09-30.pdf,2017-09-30 00:00:00,Charity
GB-CHC-295829,295829,,pdf_ocr,accounts/GB-CHC-295829-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-295857,295857,,pdf_ocr,accounts/GB-CHC-295857-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-297091,297091,,pdf_ocr,accounts/GB-CHC-297091-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-299524,299524,,pdf_ocr,accounts/GB-CHC-299524-2017-12-31.pdf,2017-12-31 00:00:00,Charity
GB-CHC-301731,301731,,pdf_ocr,accounts/GB-CHC-301731-2017-03-31.pdf,2017-03-31 00:00:00,Charity
